week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2026-01-05,BEV-001,STR-001,North,54,1458.0,False,,0.0
2026-01-05,BEV-001,STR-002,South,78,2106.0,False,,0.0
2026-01-05,BEV-001,STR-003,East,46,1242.0,False,,0.0
2026-01-05,BEV-001,STR-004,West,65,1755.0,False,,0.0
2026-01-05,BEV-001,STR-005,North,47,1269.0,False,,0.0
2026-01-05,BEV-001,STR-006,South,77,2079.0,False,,0.0
2026-01-05,BEV-001,STR-007,East,55,1485.0,False,,0.0
2026-01-05,BEV-001,STR-008,West,72,1749.6,True,Price Cut,0.1
2026-01-05,BEV-001,STR-009,North,45,1215.0,False,,0.0
2026-01-05,BEV-001,STR-010,South,85,2295.0,False,,0.0
2026-01-05,BEV-001,STR-011,East,45,1032.75,True,Bundle,0.15
2026-01-05,BEV-001,STR-012,West,52,1333.8,True,Display,0.05
2026-01-05,BEV-001,STR-013,North,52,1404.0,False,,0.0
2026-01-05,BEV-001,STR-014,South,60,1620.0,False,,0.0
2026-01-05,BEV-001,STR-015,East,34,826.2,True,Price Cut,0.1
2026-01-05,BEV-001,STR-016,West,59,1433.7,True,Price Cut,0.1
2026-01-05,BEV-001,STR-017,North,54,1312.2,True,Price Cut,0.1
2026-01-05,BEV-001,STR-018,South,83,2241.0,False,,0.0
2026-01-05,BEV-001,STR-019,East,30,810.0,False,,0.0
2026-01-05,BEV-001,STR-020,West,35,945.0,False,,0.0
2026-01-05,BEV-001,STR-021,North,64,1728.0,False,,0.0
2026-01-05,BEV-001,STR-022,South,89,2282.85,True,Display,0.05
2026-01-05,BEV-001,STR-023,East,40,1080.0,False,,0.0
2026-01-05,BEV-001,STR-024,West,43,1102.95,True,Display,0.05
2026-01-05,BEV-001,STR-025,North,44,1188.0,False,,0.0
2026-01-05,BEV-001,STR-026,South,105,2551.5,True,Price Cut,0.1
2026-01-05,BEV-001,STR-027,East,40,972.0,True,Price Cut,0.1
2026-01-05,BEV-001,STR-028,West,53,1431.0,False,,0.0
2026-01-05,BEV-001,STR-029,North,43,1161.0,False,,0.0
2026-01-05,BEV-001,STR-030,South,89,2282.85,True,Display,0.05
2026-01-05,BEV-001,STR-031,East,33,891.0,False,,0.0
2026-01-05,BEV-001,STR-032,West,68,1836.0,False,,0.0
2026-01-05,BEV-001,STR-033,North,49,1323.0,False,,0.0
2026-01-05,BEV-001,STR-034,South,69,1863.0,False,,0.0
2026-01-05,BEV-001,STR-035,East,60,1458.0,True,Price Cut,0.1
2026-01-05,BEV-001,STR-036,West,72,1555.2,True,BOGO,0.2
2026-01-05,BEV-001,STR-037,North,52,1404.0,False,,0.0
2026-01-05,BEV-001,STR-038,South,60,1620.0,False,,0.0
2026-01-05,BEV-001,STR-039,East,36,826.2,True,Bundle,0.15
2026-01-05,BEV-001,STR-040,West,51,1377.0,False,,0.0
2026-01-05,BEV-002,STR-001,North,57,3819.0,False,,0.0
2026-01-05,BEV-002,STR-002,South,105,6331.5,True,Price Cut,0.1
2026-01-05,BEV-002,STR-003,East,66,3537.6,True,BOGO,0.2
2026-01-05,BEV-002,STR-004,West,54,3437.1,True,Display,0.05
2026-01-05,BEV-002,STR-005,North,35,2345.0,False,,0.0
2026-01-05,BEV-002,STR-006,South,84,5346.6,True,Display,0.05
2026-01-05,BEV-002,STR-007,East,35,2345.0,False,,0.0
2026-01-05,BEV-002,STR-008,West,68,4328.2,True,Display,0.05
2026-01-05,BEV-002,STR-009,North,88,4716.8,True,BOGO,0.2
2026-01-05,BEV-002,STR-010,South,118,6324.8,True,BOGO,0.2
2026-01-05,BEV-002,STR-011,East,49,3118.85,True,Display,0.05
2026-01-05,BEV-002,STR-012,West,46,3082.0,False,,0.0
2026-01-05,BEV-002,STR-013,North,55,3132.25,True,Bundle,0.15
2026-01-05,BEV-002,STR-014,South,142,7611.2,True,BOGO,0.2
2026-01-05,BEV-002,STR-015,East,62,3738.6,True,Price Cut,0.1
2026-01-05,BEV-002,STR-016,West,59,3953.0,False,,0.0
2026-01-05,BEV-002,STR-017,North,41,2747.0,False,,0.0
2026-01-05,BEV-002,STR-018,South,76,5092.0,False,,0.0
2026-01-05,BEV-002,STR-019,East,43,2881.0,False,,0.0
2026-01-05,BEV-002,STR-020,West,59,3953.0,False,,0.0
2026-01-05,BEV-002,STR-021,North,45,3015.0,False,,0.0
2026-01-05,BEV-002,STR-022,South,90,5728.5,True,Display,0.05
2026-01-05,BEV-002,STR-023,East,28,1876.0,False,,0.0
2026-01-05,BEV-002,STR-024,West,38,2546.0,False,,0.0
2026-01-05,BEV-002,STR-025,North,58,3886.0,False,,0.0
2026-01-05,BEV-002,STR-026,South,149,7986.4,True,BOGO,0.2
2026-01-05,BEV-002,STR-027,East,39,2613.0,False,,0.0
2026-01-05,BEV-002,STR-028,West,60,4020.0,False,,0.0
2026-01-05,BEV-002,STR-029,North,68,4100.4,True,Price Cut,0.1
2026-01-05,BEV-002,STR-030,South,73,4891.0,False,,0.0
2026-01-05,BEV-002,STR-031,East,71,3805.6,True,BOGO,0.2
2026-01-05,BEV-002,STR-032,West,65,4355.0,False,,0.0
2026-01-05,BEV-002,STR-033,North,49,3283.0,False,,0.0
2026-01-05,BEV-002,STR-034,South,95,6365.0,False,,0.0
2026-01-05,BEV-002,STR-035,East,13,871.0,False,,0.0
2026-01-05,BEV-002,STR-036,West,58,3886.0,False,,0.0
2026-01-05,BEV-002,STR-037,North,85,4556.0,True,BOGO,0.2
2026-01-05,BEV-002,STR-038,South,77,5159.0,False,,0.0
2026-01-05,BEV-002,STR-039,East,40,2680.0,False,,0.0
2026-01-05,BEV-002,STR-040,West,30,2010.0,False,,0.0
2026-01-05,BEV-003,STR-001,North,47,1645.0,False,,0.0
2026-01-05,BEV-003,STR-002,South,83,2905.0,False,,0.0
2026-01-05,BEV-003,STR-003,East,66,2079.0,True,Price Cut,0.1
2026-01-05,BEV-003,STR-004,West,44,1540.0,False,,0.0
2026-01-05,BEV-003,STR-005,North,41,1435.0,False,,0.0
2026-01-05,BEV-003,STR-006,South,98,3087.0,True,Price Cut,0.1
2026-01-05,BEV-003,STR-007,East,49,1715.0,False,,0.0
2026-01-05,BEV-003,STR-008,West,53,1855.0,False,,0.0
2026-01-05,BEV-003,STR-009,North,52,1729.0,True,Display,0.05
2026-01-05,BEV-003,STR-010,South,85,2975.0,False,,0.0
2026-01-05,BEV-003,STR-011,East,40,1400.0,False,,0.0
2026-01-05,BEV-003,STR-012,West,59,2065.0,False,,0.0
2026-01-05,BEV-003,STR-013,North,57,1795.5,True,Price Cut,0.1
2026-01-05,BEV-003,STR-014,South,76,2660.0,False,,0.0
2026-01-05,BEV-003,STR-015,East,36,1260.0,False,,0.0
2026-01-05,BEV-003,STR-016,West,35,1225.0,False,,0.0
2026-01-05,BEV-003,STR-017,North,67,2110.5,True,Price Cut,0.1
2026-01-05,BEV-003,STR-018,South,82,2870.0,False,,0.0
2026-01-05,BEV-003,STR-019,East,40,1400.0,False,,0.0
2026-01-05,BEV-003,STR-020,West,60,1785.0,True,Bundle,0.15
2026-01-05,BEV-003,STR-021,North,35,1225.0,False,,0.0
2026-01-05,BEV-003,STR-022,South,87,2892.75,True,Display,0.05
2026-01-05,BEV-003,STR-023,East,42,1396.5,True,Display,0.05
2026-01-05,BEV-003,STR-024,West,41,1435.0,False,,0.0
2026-01-05,BEV-003,STR-025,North,63,1984.5,True,Price Cut,0.1
2026-01-05,BEV-003,STR-026,South,84,2940.0,False,,0.0
2026-01-05,BEV-003,STR-027,East,58,2030.0,False,,0.0
2026-01-05,BEV-003,STR-028,West,59,1961.75,True,Display,0.05
2026-01-05,BEV-003,STR-029,North,52,1820.0,False,,0.0
2026-01-05,BEV-003,STR-030,South,79,2765.0,False,,0.0
2026-01-05,BEV-003,STR-031,East,20,700.0,False,,0.0
2026-01-05,BEV-003,STR-032,West,64,2016.0,True,Price Cut,0.1
2026-01-05,BEV-003,STR-033,North,50,1750.0,False,,0.0
2026-01-05,BEV-003,STR-034,South,104,3640.0,False,,0.0
2026-01-05,BEV-003,STR-035,East,38,1330.0,False,,0.0
2026-01-05,BEV-003,STR-036,West,68,2142.0,True,Price Cut,0.1
2026-01-05,BEV-003,STR-037,North,64,2016.0,True,Price Cut,0.1
